id,url
nhanes-dietary-dr1tot_l-2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR1TOT_L.htm
nhanes-dietary-dr2tot_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DR2TOT_C.htm
nhanes-dietary-dr2tot_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DR2TOT_F.htm
nhanes-dietary-dr2tot_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DR2TOT_E.htm
nhanes-dietary-dr2tot_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DR2TOT_G.htm
nhanes-dietary-dr2tot_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR2TOT_D.htm
nhanes-dietary-dr2tot_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DR2TOT_H.htm
nhanes-dietary-dr2tot_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DR2TOT_I.htm
nhanes-dietary-dr2tot_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DR2TOT_J.htm
nhanes-dietary-p_dr2tot-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DR2TOT.htm
nhanes-dietary-dr2tot_l-2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DR2TOT_L.htm
nhanes-dietary-drxfmt-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.htm
nhanes-dietary-drxfmt_b-2001,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DRXFMT_B.htm
nhanes-dietary-drxfcd_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DRXFCD_C.htm
nhanes-dietary-drxfcd_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DRXFCD_F.htm
nhanes-dietary-drxfcd_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DRXFCD_E.htm
nhanes-dietary-drxfcd_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DRXFCD_G.htm
nhanes-dietary-drxfcd_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DRXFCD_D.htm
nhanes-dietary-drxfcd_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DRXFCD_H.htm
nhanes-dietary-drxfcd_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DRXFCD_I.htm
nhanes-dietary-drxfcd_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DRXFCD_J.htm
nhanes-dietary-p_drxfcd-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DRXFCD.htm
nhanes-dietary-drxfcd_l-2021,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DRXFCD_L.htm
nhanes-dietary-drxmcd_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DRXMCD_F.htm
nhanes-dietary-drxmcd_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DRXMCD_E.htm
nhanes-dietary-drxmcd_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DRXMCD_G.htm
nhanes-dietary-drxmcd_d-2005,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DRXMCD_D.htm
nhanes-dietary-drxmcd_c-2003,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DRXMCD_C.htm
nhanes-dietary-dtq_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DTQ_F.htm
nhanes-dietary-dsbi-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.htm
nhanes-dietary-dsii-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.htm
nhanes-dietary-dspi-1999,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.htm
nhanes-dietary-ds1ids_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DS1IDS_F.htm
nhanes-dietary-ds1ids_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DS1IDS_E.htm
nhanes-dietary-ds1ids_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DS1IDS_G.htm
nhanes-dietary-ds1ids_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DS1IDS_H.htm
nhanes-dietary-ds1ids_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DS1IDS_I.htm
nhanes-dietary-ds1ids_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DS1IDS_J.htm
nhanes-dietary-p_ds1ids-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS1IDS.htm
nhanes-dietary-ds2ids_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DS2IDS_F.htm
nhanes-dietary-ds2ids_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DS2IDS_E.htm
nhanes-dietary-ds2ids_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DS2IDS_G.htm
nhanes-dietary-ds2ids_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DS2IDS_H.htm
nhanes-dietary-ds2ids_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DS2IDS_I.htm
nhanes-dietary-ds2ids_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DS2IDS_J.htm
nhanes-dietary-p_ds2ids-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS2IDS.htm
nhanes-dietary-ds1tot_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DS1TOT_F.htm
nhanes-dietary-ds1tot_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DS1TOT_E.htm
nhanes-dietary-ds1tot_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DS1TOT_G.htm
nhanes-dietary-ds1tot_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DS1TOT_H.htm
nhanes-dietary-ds1tot_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DS1TOT_I.htm
nhanes-dietary-ds1tot_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DS1TOT_J.htm
nhanes-dietary-p_ds1tot-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS1TOT.htm
nhanes-dietary-ds2tot_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DS2TOT_F.htm
nhanes-dietary-ds2tot_e-2007,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DS2TOT_E.htm
nhanes-dietary-ds2tot_g-2011,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DS2TOT_G.htm
nhanes-dietary-ds2tot_h-2013,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DS2TOT_H.htm
nhanes-dietary-ds2tot_i-2015,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DS2TOT_I.htm
nhanes-dietary-ds2tot_j-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DS2TOT_J.htm
nhanes-dietary-p_ds2tot-2017,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/P_DS2TOT.htm
nhanes-dietary-dsqids_f-2009,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DSQIDS_F.htm
